Fish_Species,Total_Pass_1,Total_Pass_2,Start_Date,Loc_Name
Cyprinella spiloptera,7,5,2019-06-19T04:00:00Z,Pinehurst Branch
Rhinichthys atratulus,65,27,2019-06-19T04:00:00Z,Pinehurst Branch
Semotilus atromaculatus,5,7,2019-06-19T04:00:00Z,Pinehurst Branch
Rhinichthys cataractae,9,5,2019-06-19T04:00:00Z,Pinehurst Branch
Anguilla rostrata,3,0,2019-06-19T04:00:00Z,Pinehurst Branch
Catostomus commersonnii,8,1,2019-06-19T04:00:00Z,Pinehurst Branch
